ZIP Code,Home1MCount,HomeValueGrowth,Recreational Vessel Count,Area,Median_Income,Mean_Income,Private School Count,Wealth Score,Divorce Rate,Rank
33156,2360,0,479,Miami,134720,134720,0,4.541505332,5.9%,1
33480,2022,0,199,Palm Beach,151121,151121,0,3.864522619,9.2%,2
33149,1424,0,187,Key Biscayne,171982,171982,1,3.533404173,5.4%,3
33133,1080,0,439,Miami,92734,92734,2,3.494276607,10.0%,4
33143,1069,0,303,Miami,80924,80924,3,3.317424133,11.1%,5
32963,1429,0,212,Vero Beach,142985,142985,0,3.238637483,5.7%,6
34108,1682,0,118,Naples,120187,120187,0,3.176385635,8.9%,7
34786,1110,0,101,Windermere,131409,131409,1,3.108970251,4.4%,8
34102,1594,0,275,Naples,115927,115927,0,3.088194752,7.3%,9
32082,1238,0,157,Ponte Vedra Beach,122807,122807,0,3.053025854,7.5%,10
33140,1145,0,159,Miami Beach,103898,103898,2,3.029020838,10.4%,11
33131,335,0,171,Miami,143114,143114,2,2.990888769,9.4%,12
33134,731,0,218,Miami,92009,92009,2,2.83161763,9.5%,13
33418,672,0,146,Palm Beach Gardens,123405,123405,0,2.822969816,8.5%,14
33432,980,0,241,Boca Raton,94375,94375,1,2.806544845,9.3%,15
33629,731,0,108,Tampa,158337,158337,0,2.790668721,4.9%,16
33301,631,0,427,Fort Lauderdale,115421,115421,1,2.784458789,9.1%,17
33157,111,0,186,Miami,80364,80364,5,2.677776093,7.2%,18
33160,1141,0,246,North Miami Beach,62413,62413,1,2.675518689,10.3%,19
33308,810,0,455,Fort Lauderdale,83413,83413,0,2.647603668,10.4%,20
33076,158,0,93,Pompano Beach,174560,174560,0,2.646440836,5.3%,21
34103,1194,0,115,Naples,115262,115262,0,2.638110804,10.2%,22
33496,1114,0,70,Boca Raton,111754,111754,0,2.585875589,7.9%,23
33458,534,0,244,Jupiter,107626,107626,0,2.551373622,8.4%,24
33064,520,0,555,Pompano Beach,66269,66269,1,2.500806378,9.4%,25
32259,141,0,114,Saint Johns,144168,144168,0,2.48929141,6.7%,26
33410,686,0,334,Palm Beach Gardens,96059,96059,0,2.470953965,8.7%,27
33408,547,0,384,North Palm Beach,91390,91390,1,2.442014299,9.5%,28
